絶縁体に加える電圧がある値を超えたときに、急激に大きな電流が流れる現象を何というでしょう？,絶縁破壊,
墨汁に加えるにかわのように、疏水コロイドを安定化させるために加える親水コロイドのことを何というでしょう？,保護コロイド,
「鍵と鍵穴」の関係で説明されることが多い、酵素が特定の物質としか反応しない性質を何というでしょう？,基質特異性,
教科書を執筆するなかで元素の周期律を発見した、ロシアの化学者は誰でしょう？,ドミトリー・メンデレーエフ,
白金触媒でアンモニアを酸化させることで硝酸を製造する方法を、考案したドイツ人化学者の名から何というでしょう？,オストワルト法,
生体内では酵素がこの役割を担う、自身は変化せずに化学反応の速度を変化させる物質を何というでしょう？,触媒,
化学結合の中でも、片方の原子だけが電子対を提供するものを「何結合」というでしょう？,配位結合,
発生する気体の圧力を利用していつでも反応を止められる、３つのガラス容器を組み合わせた気体発生装置は何でしょう？,キップの装置,
正反応と逆反応の速度が一致し、見かけ上反応が止まって見える状態を何というでしょう？,化学平衡,
ニッケルとチタンの合金に代表される、変形しても加熱することで元の形に戻る合金を何というでしょう？,形状記憶合金,
一連の化学反応の中で、最も進行が遅く、全体の反応速度を決めている段階のことを「何段階」というでしょう？,律速段階,
自らも患っていた色覚異常の研究でも知られる、化合物における倍数比例の法則を発見したイギリスの化学者は誰でしょう？,ジョン・ドルトン,
「全ての気体は同温・同圧のもとでは同じ数の分子を含む」という法則を、提唱者の名前から「誰の法則」というでしょう？,アボガドロの法則,
使っていなかったボールペンのグリップがベタつく原因でもある、化合物に水が作用して起こる化学反応を何というでしょう？,加水分解,
果実の成熟を促進させるはたらきがある、分子式C2H4で表される無色の気体は何でしょう？,エチレン,
オレイン酸やリノール酸など、炭素同士の間に二重結合をもつ脂肪酸のことを、特に「何脂肪酸」というでしょう？,不飽和脂肪酸,
水に溶けにくく空気より重い気体を集める時に利用する、気体の捕集法は何でしょう？,水上置換法,
軽量ながら高い強度を誇り、金属バットや航空機などに利用されている、アルミニウム合金の一種は何でしょう？,ジュラルミン,
精錬する際に膨大な電気を必要とし「電気の缶詰」ともよばれる、1円玉などに用いられている金属は何でしょう？,アルミニウム,
周期表右上の元素ほど大きい傾向にある、化学結合している原子が電子を引き付ける能力の尺度を何というでしょう？,電気陰性度,
メガネやアクセサリーの洗浄などにも利用されている、人間の耳には聞こえない高い周波数の音を何というでしょう？,超音波,
構造式ではアスタリスクを付けて表される、4つの異なる原子や原子団が結合している炭素原子を何というでしょう？,不斉（ふせい）炭素原子,
「2つの電荷の間に働く力の大きさは、両方が持つ電気量の積に比例し、距離の2乗に反比例する」という物理法則を何というでしょう？,クーロンの法則,
「一定温度の下では気体の体積は圧力に反比例する」という法則を、発見したイギリス人化学者の名から「何の法則」というでしょう？,ボイルの法則,
「理想気体の体積は圧力に反比例し、絶対温度に比例する」という熱力学上の法則を、発見した2人の物理学者の名前から何というでしょう？,ボイル・シャルルの法則,
素焼きの陶器などが使われる、化学実験において、突沸を防ぐために容器に入れる物体を何というでしょう？,沸騰石,
ポリエチレンやポリ塩化ビニルなど、熱を加えると軟らかくなる性質をもつ樹脂を何というでしょう？,熱可塑性樹脂（ねつかそせいじゅし）,
水などの溶媒に溶けたとき、陽イオンと陰イオンに分かれて電気伝導性を持つ物質を何というでしょう？,電解質,
「希薄溶液の浸透圧は溶液のモル濃度や絶対温度に比例する」ことを説明した法則を、発見した化学者の名から「何の法則」というでしょう？,ファントホッフの法則,
「フロンティア電子軌道理論」の提唱により、1981年日本人として初めてノーベル化学賞を受賞した化学者は誰でしょう？,福井謙一（ふくい・けんいち）,
融雪剤で雪が溶ける原理になっている、液体に他の物質を溶かすと固体になる温度が下がる現象を何というでしょう？,凝固点降下,
温度による溶解度の差を利用して、溶液に溶けた混合物から純粋な物質を取り出す操作は何でしょう？,再結晶,
ユリア樹脂やメラミン樹脂など、熱を加えると硬くなる性質をもつ樹脂のことを何というでしょう？,熱硬化性樹脂,
化学肥料の大量生産を可能にしたため「空気からパンを作る方法」と形容される、鉄触媒を用いたアンモニアの工業的製法は何でしょう？,ハーバー・ボッシュ法,
高い抗酸化力を持ち化粧品にも配合されている、サッカーボール状の構造を持つ炭素の同素体は何でしょう？,フラーレン,
ベンゼンの水素原子１つをメチル基に置換した構造をもつ、有機溶剤として広く用いられる化合物は何でしょう？,トルエン,"アミノ基に置換→アニリン（染料のインディゴから発見）
カルボキシ基に置換→安息香酸（あんそくこうさん）
ヒドロキシ基に置換→フェノール"
狭心症の治療薬としても用いられる、無煙火薬やダイナマイトの原料となる化合物は何でしょう？,ニトログリセリン,
比熱と質量の積で求められる、ある物体の温度を１℃上昇させるのに必要な熱量のことを何というでしょう？,熱容量,
「一つの原子や電子について、位置と運動量を同時に正確に測定することはできない」という量子力学の基本原理は何でしょう？,不確定性原理,
パリのパンテオンで巨大な振り子を用いた実験を行い、地球が自転していることを証明したフランスの物理学者は誰でしょう？,レオン・フーコー,
磁場の中を運動する荷電粒子にはたらく力のことを、オランダの物理学者の名前から何というでしょう？,ローレンツ力,
「バネの伸びはバネを引く力の大きさに比例する」という法則を、発見者の名前から「何の法則」というでしょう？,フックの法則,
質量が変わらないようピンセットで取り扱う、天秤で質量を測る際に用いる重りは何でしょう？,分銅,
「電磁誘導によって流れる電流は、変化した磁束を打ち消す向きに働く」という法則を、発見者の名から何というでしょう？,レンツの法則,
物体が摩擦や空気抵抗を受けずに、重力のはたらきだけを受けて落下することを、漢字４字の言葉で何というでしょう？,自由落下,
周波数がわずかに異なる２つの音波が重なったとき、音の強弱が周期的に変化する現象を何というでしょう？,うなり,
明るい場所では赤色が、暗い場所では青色が見えやすくなるという現象を、発見したチェコの生理学者の名から何というでしょう？,プルキニエ現象,
加速度運動をしていた物体が摩擦抵抗などを受けて、最終的に一定になったときの速度を何というでしょう？,終端速度,
物体に力を加えていったとき、限度を超えて形状が元に戻らなくなるときの力の大きさを何というでしょう？,降伏点,
水銀を用いた実験で真空を作り出し、大気圧の大きさを測定した、17世紀イタリアの物理学者は誰でしょう？,エヴァンジェリスタ・トリチェリ,
「地上に太陽を作る研究」と紹介される、原子核同士を衝突させて得たエネルギーを利用する新しい発電方法は何でしょう？,核融合発電,
永久磁石のKS鋼や新KS鋼を発明した、明治から昭和にかけて活躍した日本の物理学者は誰でしょう？,本田光太郎（ほんだ・こうたろう）,
物理学の「力学的エネルギー」のもととなる２つの力とは、位置エネルギーと何でしょう？,運動エネルギー,
質量の単位であるキログラムの定義に用いられる、量子力学を特徴づけている物理定数は何でしょう？,プランク定数,
異なる金属を接合して電流を流すと温度差が発生するという物理学の現象を何というでしょう？,ゼーベック効果,
紙やかき氷が白く見える原因である、凹凸のある面に光が当たった時、さまざまな方向に反射する現象を何というでしょう？,乱反射,
鏡と歯車を利用して光の速さを初めて実験で測定した、フランスの物理学者は誰でしょう？,アルマン・フィゾー,
「反応熱の大きさは、反応経路によらず、反応の最初と最後の状態で決まる」という熱力学の法則を何というでしょう？,ヘスの法則,
流体中の物体には、物体が押しのけた分の浮力がはたらくという原理のことを、発見した古代ギリシャの数学者から何というでしょう？,アルキメデスの原理,
「回路上のある一点に流れ込む電流の総和と、そこから流れ出る電流の総和は等しい」という法則を何というでしょう？,キルヒホッフの（第一）法則,
金属に繰り返し外力が加わることで、無数の微小な亀裂が入り劣化してしまう現象を何というでしょう？,金属疲労,
常温下での実現を目指して研究が進められている、特定の条件下で物質の電気抵抗が０になる現象を何というでしょう？,超伝導,
紙１枚で遮られるほど透過力が小さい、陽子２個と中性子２個からなるヘリウム原子核の粒子線は何でしょう？,α線,
物体にX線を照射した際、散乱したX線の波長が元の波長より長くなる現象を何というでしょう？,コンプトン効果,
流体力学の基礎となる粘性を考慮した流体の運動方程式を、同時期に導出した二人の科学者から何というでしょう？,ナビエ・ストークスの方程式,
電気を帯びた物体が近づくと、導体の内部で電荷の偏りが生じる現象を何というでしょう？,静電誘導,
物体の回転運動の速さを、単位時間あたりの回転速度で表した物理量を何というでしょう？,角速度,
物体の回転運動を引き起こす、大きさが同じで平行かつ反対向きの２つの力を何というでしょう？,偶力,
正極に銅、負極に亜鉛、電解液に希硫酸を用いた一次電池を、考案したイタリアの物理学者の名から何というでしょう？,ボルタ電池,
ヤモリが壁に張り付いていられる理由である、オランダの物理学者の名を冠した、２つの分子間で働く弱い引力を何というでしょう？,ファンデルワールス力,
複数の波が重なり合うとき、互いの波が強めあったり弱めあったりする現象を何というでしょう？,干渉,
「導体に流れる電流の大きさは電圧の大きさに比例する」という、電磁気学における法則を何というでしょう？,オームの法則,
生物学において、条件が人為的にコントロールされた試験管の中での実験であることを指す、ラテン語由来の言葉は何でしょう？,invitro（イン・ビトロ）,
リン酸、糖、塩基が結合した構造を取っている、DNAやRNAの基本単位である物質は何でしょう？,ヌクレオチド,
グラナやストロマなどの構造からなる、植物の細胞内にある光合成を行う小器官は何でしょう？,葉緑体,
修道士を務めるかたわらエンドウを用いた研究を行い、遺伝に関する有名な法則を発見した19世紀の生物学者は誰でしょう？,グレゴール・メンデル,
フグが毒を持つ理由でもある、食物連鎖の過程で化学物質が上位捕食者の体内に蓄積されていく現象を何というでしょう？,生物濃縮,
個体群を維持するために特定の広い生育環境を必要とする生物種のことを何というでしょう？,アンブレラ種,
好中球やマクロファージが行う、取り込んだ異物を分解して排除する自然免疫の一種は何でしょう？,食作用,
冬場に休眠している植物の芽に着目し、植物の生活形を提唱した、デンマークの植物学者は誰でしょう？,クリステン・ラウンケル,
ゴールデン、ロボロフスキー、ジャンガリアンといえば、ペットとして人気のどんな動物の種類でしょう？,ハムスター,
タンパク質を構成するアミノ酸の中でも、人が体内で作ることのできないものを総称して何というでしょう？,必須アミノ酸,
生物が自らの内部環境を一定の状態に保ち続けようとする性質のことを何というでしょう？,ホメオスタシス,
カゲロウの観察から「棲（す）み分け理論」を提唱した、日本における霊長類学を創始した生物学者は誰でしょう？,今西錦司（いまにし・きんじ）,
生物の名前を属名と種名で表す「二名法」を考案した、著書『自然の体系』で知られるスウェーデンの生物学者は誰でしょう？,カール・フォン・リンネ,
ホトトギスやカッコウにみられる、他の鳥の巣に卵を産み、ひなを育てさせる習性を何というでしょう？,托卵（たくらん）,
オタマジャクシのしっぽがなくなる過程などにみられる、遺伝的にプログラムされた細胞の死のことを何というでしょう？,アポトーシス,
すり鉢状の穴を作って中に落ちた昆虫を捕食する、ウスバカゲロウの幼虫の通称は何でしょう？,アリジゴク,
イルカや渡り鳥が行う、外部環境に常に注意を払うため大脳を左右交互に眠らせる睡眠方法を何というでしょう？,半球睡眠,
オオマツヨイグサを用いた研究結果に基づき、生物の突然変異説を提唱した、オランダの植物学者は誰でしょう？,ユーゴー・ド・フリース,
ヒトデやラッコのように、個体数は少ないが生態系を支えるために不可欠な生物種を何というでしょう？,キーストーン種,
主に葉の気孔で行われる、植物が内部の水を水蒸気として排出する現象は何でしょう？,蒸散,
生物の進化の過程において、存在が予測されるものの化石が発見されていない部分のことを何というでしょう？,ミッシングリンク,
大量調理された食品で発生しやすく「給食菌」とも呼ばれる、食中毒の原因となる細菌は何でしょう？,ウェルシュ菌,
裸子植物ではむき出しになっている、成長すると種子になる植物の器官は何でしょう？,胚珠,
アゾトバクターや根粒（こんりゅう）菌が担う、大気中の窒素からアンモニウムイオンを作るはたらきを何というでしょう？,窒素固定,
腸内からとれる「アンバーグリス」という香料は高値で取引される、クジラの一種は何でしょう？,マッコウクジラ,
ミオシンやキネシンなど、ATPの分解で得たエネルギーで細胞内の物質輸送などをおこなうタンパク質を何というでしょう？,モータータンパク質,
生物の分類において、「門」の1つ下、「目（もく）」の1つ上にあたる分類の階級は何でしょう？,綱（こう）,
ミミズに関する研究でも知られる、自然淘汰を説いた著書『種の起源』を著した生物学者は誰でしょう？,チャールズ・ダーウィン,
イルカやコウモリなどが行う、超音波を用いて物体の位置や大きさを割り出すことを何というでしょう？,エコーロケーション,
背中の斑点模様がある着物の柄に似ていることから名付けられた、世界最大の魚類であるサメは何でしょう？,ジンベエザメ,
乳児に蜂蜜を食べさせてはいけない原因である、自然界で最も強い毒素を作るとされる菌は何でしょう？,ボツリヌス菌,
心臓部分には一等星のアンタレスが輝く、オリオン座が沈むと現れる夏の星座は何でしょう？,さそり座,
秋の夜空にぽつんと輝くことから「南の一つ星」の異名を取る、みなみのうお座のα星は何でしょう？,フォーマルハウト,
「重なりあう複数の地層において、上の地層は下の地層よりも新しい」という、地質学における基本的な法則は何でしょう？,地層累重の法則,
宇宙を構成する成分の７割ほどを占める、宇宙の膨張を加速させる謎のエネルギーを何というでしょう？,ダークエネルギー,
